lemma_a,lemma_b
ALLEGER,LEGER
ALLEGORIE,ALLEGORIQUE
ALLER,ALLIER
ALLIAGE,ALLIER
ALLIANCE,ALLIER
ALLIE,ALLIER
ALLIER,RALLIER
ALLOCATION,ALLOUER
ALLONGE,ALLONGER
ALLONGEMENT,ALLONGER
ALLUMAGE,ALLUMER
ALLUME,ALLUMER
ALOURDIR,ALOURDISSEMENT
ALPHABET,ALPHABETIQUE
ALTERATION,ALTERER
ALTERER,DESALTERER
ALTERNATEUR,ALTERNATIF
ALTERNATEUR,ALTERNER
ALTERNATIF,ALTERNER
AMAIGRIR,AMAIGRISSEMENT
AMALGAMATION,AMALGAMER
AMALGAME,AMALGAMER
AMASSER,RAMASSER
AMBASSADE,AMBASSADEUR
AMBITIEUX,AMBITION
AMBITION,AMBITIONNER
AMELIORATION,AMELIORER
AMENAGEMENT,AMENAGER
AMENAGEMENT,REAMENAGEMENT
AMENAGER,REAMENAGER
AMENDE,AMENDER
AMENDEMENT,AMENDER
AMENER,MENER
AMENER,RAMENER
AMEUBLIR,AMEUBLISSEMENT
AMI,AMIABLE
AMI,AMICAL
AMINCIR,AMINCISSEMENT
AMOINDRIR,AMOINDRISSEMENT
AMOLLIR,MOU
AMOLLIR,RAMOLLIR
AMONCELER,AMONCELLEMENT
AMORCE,AMORCER
AMORTI,AMORTIR
AMORTIR,AMORTISSABLE
AMORTIR,AMORTISSEMENT
AMORTIR,AMORTISSEUR
AMORTISSEMENT,AMORTISSEUR
AMPLE,AMPLEUR
AMPLE,AMPLIFIER
AMPLE,AMPLITUDE
AMPLIFICATEUR,AMPLIFICATION
AMPLIFICATEUR,AMPLIFIER
AMPLIFICATION,AMPLIFIER
AMUSEMENT,AMUSER
ANACHRONIQUE,ANACHRONISME
ANAL,ANUS
ANALOGIE,ANALOGIQUE
ANALPHABETE,ANALPHABETISME
ANALYSE,ANALYSER
ANALYSE,ANALYTIQUE
ANALYSER,ANALYSEUR
ANARCHIE,ANARCHIQUE
ANARCHIE,ANARCHISME
ANARCHIE,ANARCHISTE
ANARCHISME,ANARCHISTE
ANATOMIE,ANATOMIQUE
ANATOMIE,ANATOMISTE
ANCIEN,ANCIENNETE
ANEANTIR,ANEANTISSEMENT
ANECDOTE,ANECDOTIQUE
ANESTHESIE,ANESTHESIQUE
ANIMAL,ANIMALITE
ANIMATEUR,ANIMATION
ANIMATEUR,ANIMER
ANIMATION,ANIMER
ANIMATION,REANIMATION
ANIME,ANIMER
ANIMER,RANIMER
ANNEXE,ANNEXER
ANNEXER,ANNEXION
ANNIHILATION,ANNIHILER
ANNONCE,ANNONCER
ANNONCER,ANNONCIATEUR
ANNULATION,ANNULER
ANNULER,NUL
ANOBLIR,ANOBLISSEMENT
ANTAGONISME,ANTAGONISTE
ANTERIEUR,ANTERIORITE
ANTHROPOLOGIE,ANTHROPOLOGIQUE
ANTICOMMUNISME,ANTICOMMUNISTE
ANTIFASCISTE,FASCISTE
ANTIGENE,ANTIGENIQUE
ANTIMILITARISTE,MILITARISTE
ANTINOMIE,ANTINOMIQUE
ANTIPATHIE,ANTIPATHIQUE
ANTISEMITE,ANTISEMITISME
ANTISOUSMARIN,SOUSMARIN
ANTITABAC,TABAC
ANTITHESE,ANTITHETIQUE
ANTITHESE,THESE
APAISEMENT,APAISER
APAISER,PAIX
APICULTEUR,APICULTURE
APLANIR,APLANISSEMENT
APLATIR,APLATISSEMENT
APLATIR,PLAT
APOCALYPSE,APOCALYPTIQUE
APPARAITRE,APPARITION
APPARAITRE,PARAITRE
APPARAITRE,REAPPARAITRE
APPAREIL,APPAREILLER
APPAREILLAGE,APPAREILLER
APPAREILLAGE,APPAREILLEUR
APPAREILLER,APPAREILLEUR
APPARITION,REAPPARITION
APPARTENANCE,APPARTENIR
APPAUVRIR,APPAUVRISSEMENT
APPEL,APPELER
APPELER,APPELLATION
APPELER,RAPPELER
APPENDICE,APPENDICITE
APPENDICE,APPENDICULAIRE
APPLAUDIR,APPLAUDISSEMENT
APPLICATION,APPLIQUER
APPLIQUE,APPLIQUER
APPORTER,PORTER
APPORTER,RAPPORTER
APPOSER,APPOSITION
APPRECIABLE,APPRECIER
APPRECIABLE,INAPPRECIABLE
APPRECIATEUR,APPRECIATION
APPRECIATEUR,APPRECIER
APPRECIATION,APPRECIER
APPREHENDER,APPREHENSION
APPRENDRE,APPRENTISSAGE
APPRET,APPRETER
APPRETER,PRET
APPROBATION,APPROUVER
APPROCHER,PROCHE
APPROCHER,RAPPROCHER
APPROPRIATION,APPROPRIER
APPROUVER,DESAPPROUVER
APPROVISIONNER,PROVISION
APPROXIMATIF,APPROXIMATION
APPUI,APPUYER
APTE,APTITUDE
ARBITRAIRE,ARBITRE
ARC,ARCHET
ARCHEOLOGIE,ARCHEOLOGIQUE
ARCHITECTE,ARCHITECTURE
ARCHITECTURAL,ARCHITECTURE
ARCHIVISTE,ARCHIVISTIQUE
ARGILE,ARGILEUX
ARGUMENT,ARGUMENTER
ARGUMENTATION,ARGUMENTER
ARISTOCRATE,ARISTOCRATIE
ARISTOCRATIE,ARISTOCRATIQUE
ARMATEUR,ARMER
ARME,ARMER
ARME,DESARMER
ARMEMENT,ARMER
ARMEMENT,REARMEMENT
ARRACHEMENT,ARRACHER
ARRANGEMENT,ARRANGER
ARRANGER,RANGER
ARRANGER,REARRANGER
ARRETE,ARRETER
ARRIVEE,ARRIVER
ARRONDIR,ARRONDISSEMENT
ART,ARTISAN
ART,ARTISTE
ARTERE,ARTERIEL
ARTICULAIRE,ARTICULATION
ARTICULATION,ARTICULER
ARTIFICE,ARTIFICIEL
ARTIFICE,ARTIFICIEUX
ARTISAN,ARTISANAT
ASCENSEUR,ASCENSION
ASCENSION,ASCENSIONNEL
ASPHYXIE,ASPHYXIER
ASPIRATEUR,ASPIRER
ASSAILLANT,ASSAILLIR
ASSAILLIR,ASSAUT
ASSAINIR,ASSAINISSEMENT
ASSAISONNEMENT,ASSAISONNER
ASSASSIN,ASSASSINER
ASSASSINAT,ASSASSINER
ASSEOIR,ASSIETTE
ASSERVIR,ASSERVISSEMENT
ASSIDU,ASSIDUITE
ASSIEGE,ASSIEGER
ASSIEGEANT,ASSIEGER
ASSIGNATION,ASSIGNER
ASSIGNER,SIGNE
ASSIMILABLE,ASSIMILER
ASSIMILATIF,ASSIMILATION
ASSIMILATIF,ASSIMILER
ASSIMILATION,ASSIMILER
ASSISTANCE,ASSISTER
ASSISTE,ASSISTER
ASSOCIATIF,ASSOCIATION
ASSOCIATIF,ASSOCIER
ASSOCIATION,ASSOCIER
ASSOCIE,ASSOCIER
ASSORTIMENT,ASSORTIR
ASSOUPIR,ASSOUPISSEMENT
ASSOUPLIR,ASSOUPLISSEMENT
ASSURANCE,ASSURER
ASSURE,ASSURER
ASSURER,ASSUREUR
ASSURER,RASSURER
ASSURER,SUR
ASTHMATIQUE,ASTHME
ASTREINDRE,ASTREINTE
ASTROLOGIE,ASTROLOGIQUE
ASTRONOMIE,ASTRONOMIQUE
ATHEE,ATHEISME
ATMOSPHERE,ATMOSPHERIQUE
ATOME,ATOMIQUE
ATROPHIE,ATROPHIER
ATTACHE,ATTACHER
ATTACHEMENT,ATTACHER
ATTAQUE,ATTAQUER
ATTARDE,ATTARDER
ATTEINDRE,ATTEINTE
ATTENDRE,ATTENDU
ATTENDRE,ATTENTE
ATTENDRIR,ATTENDRISSEMENT
ATTENDRIR,TENDRE
ATTENDU,INATTENDU
ATTENTAT,ATTENTER
ATTENUANT,ATTENUER
ATTENUATION,ATTENUER
ATTERRIR,ATTERRISSAGE
ATTERRIR,ATTERRISSEMENT
ATTERRISSAGE,ATTERRISSEMENT
ATTESTATION,ATTESTER
ATTIRER,TIRER
ATTRAPE,ATTRAPER
ATTRAPER,RATTRAPER
ATTRIBUABLE,ATTRIBUER
ATTRIBUER,ATTRIBUT
ATTRIBUER,ATTRIBUTIF
ATTRIBUER,ATTRIBUTION
ATTRIBUTIF,ATTRIBUTION
ATTROUPEMENT,ATTROUPER
AUBERGE,AUBERGISTE
AUDITEUR,AUDITIF
AUGMENTATION,AUGMENTER
AUMONE,AUMONIER
AUSTERE,AUSTERITE
AUTHENTICITE,AUTHENTIQUE
AUTOCRATIE,AUTOCRATIQUE
AUTOMATIQUE,AUTOMATISME
AUTOMATIQUE,SEMIAUTOMATIQUE
AUTOMATISATION,AUTOMATISER
AUTONOME,AUTONOMIE
AUTONOMIE,AUTONOMISTE
AUTORISATION,AUTORISER
AUTORITAIRE,AUTORITARISME
AUTORITAIRE,AUTORITE
AVANCEE,AVANCER
AVANTAGE,AVANTAGER
AVANTAGE,AVANTAGEUX
AVANTAGER,AVANTAGEUX
AVANTGARDE,AVANTGARDISTE
AVENTURE,AVENTURER
AVENTURE,AVENTUREUX
AVENTURE,AVENTURIER
AVERTIR,AVERTISSEMENT
AVERTIR,AVERTISSEUR
AVERTISSEMENT,AVERTISSEUR
AVEU,AVOUER
AVILIR,AVILISSEMENT
AVILIR,VIL
AVIS,AVISER
AVOISINANT,AVOISINER
AVORTEMENT,AVORTER
AVOUE,AVOUER
AVOUER,DESAVOUER
AXE,AXIAL
AXIOMATIQUE,AXIOME
BACTERIOLOGIE,BACTERIOLOGIQUE
BACTERIOLOGIE,BACTERIOLOGISTE
BADIGEONNAGE,BADIGEONNER
BADIGEONNAGE,BADIGEONNEUR
BADIGEONNER,BADIGEONNEUR
BAIGNER,BAIN
BAISE,BAISER
BAISSE,BAISSER
BALAI,BALAYER
BALANCE,BALANCER
BALANCE,BALANCIER
BALANCEMENT,BALANCER
BALANCER,BALANCIER
BALAYAGE,BALAYER
BALBUTIEMENT,BALBUTIER
BAN,BANNIERE
BAN,BANNIR
BANAL,BANALITE
BANC,BANQUETTE
BANC,BANQUIER
BANCAIRE,BANQUE
BANNI,BANNIR
BANNIR,BANNISSEMENT
BANQUE,BANQUETTE
BANQUE,BANQUIER
BAPTISER,REBAPTISER
BARBARE,BARBARIE
BARBE,BARBU
BARQUE,DEBARQUER
BARQUE,EMBARQUER
BARRAGE,BARRER
BARRE,BARRER
BARRE,BARRIERE
BARRE,EMBARRER
BAS,BASSESSE
BASCULE,BASCULER
BASCULEMENT,BASCULER
BASE,BASER
BASE,BASIQUE
BATIMENT,BATIR
BATIR,BATISSE
BATIR,REBATIR
BATTAGE,BATTRE
BATTE,BATTRE
BATTEMENT,BATTRE
BATTERIE,BATTRE
BATTRE,BATTUE
BEAT,BEATITUDE
BEAU,BEAUTE
BEAU,EMBELLIR
BEC,BECQUETER
BENEFICE,BENEFICIAIRE
BENEFICE,BENEFICIER
BENIR,BENIT
BETE,BETISE
BIBLE,BIBLIQUE
BIBLIOGRAPHIE,BIBLIOGRAPHIQUE
BIBLIOTHECAIRE,BIBLIOTHEQUE
BIOGRAPHIE,BIOGRAPHIQUE
BIOLOGIE,BIOLOGIQUE
BIOLOGIE,BIOLOGISTE
BITUME,BITUMINEUX
BIZARRE,BIZARRERIE
BLAME,BLAMER
BLANC,BLANCHATRE
BLANC,BLANCHEUR
BLANCHIR,BLANCHISSAGE
BLANCHIR,BLANCHISSEUR
BLANCHISSAGE,BLANCHISSEUR
BLASPHEME,BLASPHEMER
BLESSE,BLESSER
BLEU,BLEUATRE
BLOC,BLOQUER
BLOCAGE,BLOQUER
BLOQUER,DEBLOQUER
BOIRE,BU
BOLCHEVISME,BOLCHEVISTE
BOMBARDEMENT,BOMBARDER
BONDIR,BONDISSANT
BONDIR,REBONDIR
BORD,BORDER
BORD,DEBORDER
BORDE,BORDER
BORNE,BORNER
BOTANIQUE,BOTANISTE
BOUC,BOUQUET
BOUCHE,BOUCHER
BOUCHE,BOUQUET
BOUCHE,DEBOUCHER
BOUCHER,BOUCHERIE
BOUCHER,DEBOUCHER
BOUCLE,BOUCLIER
BOUILLANT,BOUILLIR
BOULANGER,BOULANGERIE
BOULE,BOULET
BOULE,BOULOT
BOULEVERSANT,BOULEVERSER
BOULEVERSEMENT,BOULEVERSER
BOURDONNEMENT,BOURDONNER
BOURGEOIS,BOURGEOISIE
BOURRE,BOURRELET
BOURSE,DEBOURSER
BRAS,EMBRASSER
BRIGADE,BRIGADIER
BRIS,BRISER
BRISANT,BRISER
BRISEE,BRISER
BROUILLARD,BROUILLER
BROUILLE,BROUILLER
BROUILLER,DEBROUILLER
BROUILLER,EMBROUILLER
BRUTAL,BRUTALISER
BRUTAL,BRUTALITE
BUCHE,BUCHER
BUREAUCRATE,BUREAUCRATIE
BUREAUCRATIE,BUREAUCRATIQUE
CABARET,CABARETIER
CADRE,ENCADRER
CAISSE,CAISSIER
CAISSE,CASSETTE
CAISSE,ENCAISSER
CALCUL,CALCULER
CALCULATEUR,CALCULER
CALOMNIATEUR,CALOMNIER
CALOMNIE,CALOMNIER
CALOMNIE,CALOMNIEUX
CAMION,CAMIONNETTE
CAMP,CAMPER
CAMPAGNARD,CAMPAGNE
CAMPEMENT,CAMPER
CANAL,CANALISER
CANALISATION,CANALISER
CANE,CANER
CANON,CANONIQUE
CANTON,CANTONNER
CANTON,CANTONNIER
CANTONNEMENT,CANTONNER
CAPABLE,CAPE
CAPABLE,INCAPABLE
CAPITAL,CAPITALISER
CAPITAL,CAPITALISME
CAPITAL,CAPITALISTE
CAPITALISATION,CAPITALISER
CAPITALISME,CAPITALISTE
CAPITULAIRE,CAPITULE
CAPITULATION,CAPITULER
CAPRICE,CAPRICIEUX
CAPTIF,CAPTIVITE
CARACTERE,CARACTERISER
CARACTERE,CARACTERISTIQUE
CARACTERISANT,CARACTERISER
CARACTERISATION,CARACTERISER
CARAVANE,CARAVANIER
CARBURANT,CARBURE
CARESSE,CARESSER
CARICATURAL,CARICATURE
CARIE,CARIER
CARNAVAL,CARNAVALESQUE
CAROTIDE,CAROTIDIEN
CARRE,CARRER
CARROSSABLE,CARROSSE
CARTILAGE,CARTILAGINEUX
CARTOGRAPHIE,CARTOGRAPHIQUE
CARTON,CARTONNIER
CASE,CASER
CASE,CASIER
CASSATION,CASSER
CASSE,CASSER
CATASTROPHE,CATASTROPHIQUE
CATECHISER,CATECHISME
CATEGORIE,CATEGORIEL
CATEGORIE,CATEGORIQUE
CATHOLICISER,CATHOLIQUE
CATHOLICISME,CATHOLIQUE
CATHOLICITE,CATHOLIQUE
CAUSE,CAUSER
CAUSER,CAUSERIE
CAUTION,CAUTIONNER
CAUTIONNEMENT,CAUTIONNER
CAVERNE,CAVERNEUX
CEINTURE,CEINTURER
CELEBRANT,CELEBRER
CELEBRATION,CELEBRER
CELEBRE,CELEBRITE
CELIBAT,CELIBATAIRE
CENT,CENTAINE
CENTRAL,CENTRALISER
CENTRAL,CENTRALITE
CENTRAL,CENTRE
CENTRAL,DECENTRALISER
CENTRALISATEUR,CENTRALISER
CENTRALISATION,CENTRALISER
CERCLE,CIRCULAIRE
CERCLE,ENCERCLER
CEREMONIAL,CEREMONIE
CERNE,CERNER
CERNER,DISCERNER
CERTIFICATION,CERTIFIER
CESSATION,CESSER
CESSE,CESSER
CESSER,CESSION
CESSION,CESSIONNAIRE
CHAINE,DECHAINER
CHAINE,ENCHAINER
CHALEUR,CHALEUREUX
CHAMPION,CHAMPIONNAT
CHANCELANT,CHANCELER
CHANGE,CHANGER
CHANGEMENT,CHANGER
CHANGER,ECHANGER
CHANSON,CHANSONNIER
CHANTAGE,CHANTER
CHANTAGE,CHANTEUR
CHANTER,CHANTEUR
CHAOS,CHAOTIQUE
CHAPELAIN,CHAPELLE
CHAR,CHARRETTE
CHARBON,CHARBONNEUX
CHARBON,CHARBONNIER
CHARGE,CHARGER
CHARGE,DECHARGER
CHARGEMENT,CHARGER
CHARGEMENT,CHARGEUR
CHARGER,CHARGEUR
CHARGER,RECHARGER
CHARME,CHARMER
CHARPENTE,CHARPENTIER
CHARRETIER,CHARRETTE
CHASSE,CHASSER
CHASTE,CHASTETE
CHATIER,CHATIMENT
CHAUD,CHAUDIERE
CHAUDRONNERIE,CHAUDRONNIER
CHAUFFAGE,CHAUFFER
CHAUFFE,CHAUFFER
CHAUFFER,ECHAUFFER
CHAUFFER,SURCHAUFFER
CHEF,CHEVET
CHEMIN,CHEMINER
CHEMINEMENT,CHEMINER
CHER,CHERIR
CHER,CHERTE
CHER,ENCHERIR
CHERCHER,CHERCHEUR
CHERCHER,RECHERCHER
CHERI,CHERIR
CHEVAL,CHEVALIER
CHEVALERESQUE,CHEVALIER
CHEVAUCHEMENT,CHEVAUCHER
CHIFFRE,CHIFFRER
CHIFFRE,DECHIFFRER
CHIMERE,CHIMERIQUE
CHIMIE,CHIMISTE
CHIRURGIE,CHIRURGIEN
CHOC,CHOQUER
CHOIR,CHUTE
CHOISIR,CHOIX
CHOREGRAPHIE,CHOREGRAPHIQUE
CHROMOSOME,CHROMOSOMIQUE
CHRONOLOGIE,CHRONOLOGIQUE
CICATRICE,CICATRICIEL
CICATRICE,CICATRISER
CICATRISATION,CICATRISER
CIGARE,CIGARETTE
CINEASTE,CINEMA
CIRCONSCRIPTION,CIRCONSCRIRE
CIRCONSTANCE,CIRCONSTANCIEL
CIRCONSTANCE,CIRCONSTANCIER
CIRCULAIRE,CIRCULARITE
CIRCULAIRE,DEMICIRCULAIRE
CIRCULAIRE,SEMICIRCULAIRE
CIRCULATION,CIRCULATOIRE
CIRCULATION,CIRCULER
CIRCULATOIRE,CIRCULER
CIRE,CIRER
CITE,CITER
CIVIL,CIVILISER
CIVILISATEUR,CIVILISER
CIVILISATION,CIVILISER
CIVIQUE,CIVISME
CLAIR,CLAIRIERE
CLAIR,CLARINETTE
CLAIR,ECLAIRER
CLANDESTIN,CLANDESTINITE
CLARIFICATION,CLARIFIER
CLASSE,CLASSER
CLASSEMENT,CLASSER
CLASSEMENT,RECLASSEMENT
CLAVICULAIRE,CLAVICULE
CLIENTELE,CLIENTELISME
CLIENTELE,CLIENTELISTE
CLOISON,CLOISONNER
CLOISONNEMENT,CLOISONNER
COALISER,COALITION
COCHE,COCHER
COEXISTENCE,COEXISTER
COHABITATION,COHABITER
COINCIDENCE,COINCIDER
COL,COLLET
COLLABORATEUR,COLLABORATION
COLLABORATEUR,COLLABORER
COLLABORATION,COLLABORER
COLLAGE,COLLER
COLLAGE,DECOLLAGE
COLLATION,COLLER
COLLE,COLLER
COLLECTE,COLLECTER
COLLECTER,COLLECTEUR
COLLECTER,COLLECTIF
COLLECTER,COLLECTION
COLLECTEUR,COLLECTIF
COLLECTEUR,COLLECTION
COLLECTIF,COLLECTION
COLLECTIF,COLLECTIVISME
COLLECTIF,COLLECTIVISTE
COLLECTIF,COLLECTIVITE
COLLECTION,COLLECTIONNER
COLLECTIONNER,COLLECTIONNEUR
COLLECTIVISME,COLLECTIVISTE
COLLEGE,COLLEGIAL
COLLEGE,COLLEGIEN
COLLEGIAL,COLLEGIALITE
COLLIER,COU
COLONIALISME,COLONIALISTE
COLONISATEUR,COLONISER
COLONISATION,COLONISER
COLORANT,COLORER
COLOSSAL,COLOSSE
COLPORTAGE,COLPORTEUR
COMBAT,COMBATTRE
COMBATTANT,COMBATTRE
COMBINAISON,COMBINER
COMBINATOIRE,COMBINER
COMBINE,COMBINER
COMBLE,COMBLER
COMBLEMENT,COMBLER
COMBUSTIBLE,COMBUSTION
COMEDIE,COMEDIEN
COMMANDANT,COMMANDER
COMMANDE,COMMANDER
COMMANDEMENT,COMMANDER
COMMANDER,RECOMMANDER
COMMANDITAIRE,COMMANDITER
COMMEMORATIF,COMMEMORATION
COMMEMORATIF,COMMEMORER
COMMEMORATION,COMMEMORER
COMMENCANT,COMMENCER
COMMENCEMENT,COMMENCER
COMMENCEMENT,RECOMMENCEMENT
COMMENCER,RECOMMENCER
COMMENTAIRE,COMMENTER
COMMERCANT,COMMERCE
COMMERCANT,COMMERCER
COMMERCE,COMMERCER
COMMERCE,COMMERCIAL
COMMERCIAL,COMMERCIALISER
COMMETTRE,COMMISSION
COMMISSAIRE,COMMISSION
COMMISSION,COMMISSIONNAIRE
COMMISSION,COMMISSIONNER
COMMODE,COMMODITE
COMMODE,INCOMMODE
COMMUNICABLE,COMMUNIQUER
COMMUNICABLE,INCOMMUNICABLE
COMMUNICANT,COMMUNIQUER
COMMUNICATIF,COMMUNICATION
COMMUNICATIF,COMMUNIQUER
COMMUNICATION,COMMUNIQUER
COMMUTATEUR,COMMUTATION
COMPARABILITE,COMPARABLE
COMPARABLE,COMPARER
COMPARABLE,INCOMPARABLE
COMPARAISON,COMPARER
COMPARAITRE,COMPARUTION
COMPARATEUR,COMPARATIF
COMPARATEUR,COMPARER
COMPARATIF,COMPARER
COMPARATISME,COMPARER
COMPATIBILITE,COMPATIBLE
COMPATIBLE,INCOMPATIBLE
COMPATIR,COMPATISSANT
COMPENSATEUR,COMPENSER
COMPENSATION,COMPENSATOIRE
COMPENSATION,COMPENSER
COMPENSATOIRE,COMPENSER
COMPETENT,INCOMPETENT
COMPETITEUR,COMPETITIF
COMPETITEUR,COMPETITION
COMPETITIF,COMPETITION
COMPETITIF,COMPETITIVITE
COMPILATEUR,COMPILATION
COMPLAIRE,COMPLAISANCE
COMPLAIRE,COMPLAISANT
COMPLEMENT,COMPLETER
COMPLETEMENT,COMPLETER
COMPLICATION,COMPLIQUER
COMPLIMENT,COMPLIMENTER
COMPORTEMENT,COMPORTEMENTAL
COMPORTEMENT,COMPORTER
COMPOSANT,COMPOSER
COMPOSE,COMPOSER
COMPOSER,COMPOSITEUR
COMPOSER,COMPOSITION
